[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=45.66)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Malicious (score=57.93)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Malicious (score=61.81)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=42.32)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=42.52)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=43.08)
[2026-04-06 22:01:05] INFO     | FlaskApp | Processed 25 traffic samples
[2026-04-06 22:01:12] INFO     | NetworkMonitor | Simulated 25 packets
[2026-04-06 22:01:12] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:12] WARNING  | Detector | Prediction: Suspicious (score=47.53)
[2026-04-06 22:01:12] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:12] WARNING  | Detector | Prediction: Suspicious (score=46.02)
[2026-04-06 22:01:12] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:12] WARNING  | Detector | Prediction: Suspicious (score=42.03)
[2026-04-06 22:01:12] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:12] WARNING  | Detector | Prediction: Suspicious (score=40.93)
[2026-04-06 22:01:12] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:12] WARNING  | Detector | Prediction: Suspicious (score=42.7)
[2026-04-06 22:01:12] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:12] WARNING  | Detector | Prediction: Suspicious (score=45.01)
[2026-04-06 22:01:12] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:12] WARNING  | Detector | Prediction: Suspicious (score=41.03)
[2026-04-06 22:01:12] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:12] WARNING  | Detector | Prediction: Suspicious (score=44.26)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=42.72)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=42.77)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:13] WARNING  | Detector | Prediction: Suspicious (score=46.74)
[2026-04-06 22:01:13] INFO     | Detector | Model loaded from disk
